Geografi;År;Kjønn;Alder;Utdanningsnivå;andel (prosent);FLAGG
Hele landet;2012;kjønn samlet;25 år +;grunnskole;23.4467202529377;
Hele landet;2012;kjønn samlet;25-29 år;grunnskole;22.1445482414691;
Hele landet;2012;kjønn samlet;30-39 år;grunnskole;17.0404686003235;
Hele landet;2012;kjønn samlet;40-44 år;grunnskole;17.5945511231561;
Hele landet;2012;kjønn samlet;45-74 år;grunnskole;23.3020020494588;
Hele landet;2012;kjønn samlet;75 år +;grunnskole;43.0821670195734;
Hele landet;2012;menn;25 år +;grunnskole;22.408203542229;
Hele landet;2012;menn;25-29 år;grunnskole;25.4441372580908;
Hele landet;2012;menn;30-39 år;grunnskole;18.6852292524732;
Hele landet;2012;menn;40-44 år;grunnskole;18.4030537487902;
Hele landet;2012;menn;45-74 år;grunnskole;21.9956925971376;
Hele landet;2012;menn;75 år +;grunnskole;35.6835619623343;
Hele landet;2012;kvinner;25 år +;grunnskole;24.4595021679097;
Hele landet;2012;kvinner;25-29 år;grunnskole;18.7622527772962;
Hele landet;2012;kvinner;30-39 år;grunnskole;15.3457406952757;
Hele landet;2012;kvinner;40-44 år;grunnskole;16.7550847410052;
Hele landet;2012;kvinner;45-74 år;grunnskole;24.6259330765481;
Hele landet;2012;kvinner;75 år +;grunnskole;47.9104038842685;
Hele landet;2013;kjønn samlet;25 år +;grunnskole;23.1084574891304;
Hele landet;2013;kjønn samlet;25-29 år;grunnskole;22.6327884687068;
Hele landet;2013;kjønn samlet;30-39 år;grunnskole;17.4779129458445;
Hele landet;2013;kjønn samlet;40-44 år;grunnskole;16.6873126205701;
Hele landet;2013;kjønn samlet;45-74 år;grunnskole;22.7742549772102;
Hele landet;2013;kjønn samlet;75 år +;grunnskole;41.8286348564842;
Hele landet;2013;menn;25 år +;grunnskole;22.2409543480118;
Hele landet;2013;menn;25-29 år;grunnskole;25.9141708504049;
Hele landet;2013;menn;30-39 år;grunnskole;19.3768043865164;
Hele landet;2013;menn;40-44 år;grunnskole;17.5270416589196;
Hele landet;2013;menn;45-74 år;grunnskole;21.6318065238929;
Hele landet;2013;menn;75 år +;grunnskole;34.6006111491889;
Hele landet;2013;kvinner;25 år +;grunnskole;23.9553046778489;
Hele landet;2013;kvinner;25-29 år;grunnskole;19.2781667059965;
Hele landet;2013;kvinner;30-39 år;grunnskole;15.5250172099876;
Hele landet;2013;kvinner;40-44 år;grunnskole;15.8166302837865;
Hele landet;2013;kvinner;45-74 år;grunnskole;23.9326931878728;
Hele landet;2013;kvinner;75 år +;grunnskole;46.6200642715497;
Hele landet;2014;kjønn samlet;25 år +;grunnskole;22.5904429692564;
Hele landet;2014;kjønn samlet;25-29 år;grunnskole;21.9646389179198;
Hele landet;2014;kjønn samlet;30-39 år;grunnskole;17.9025409726516;
Hele landet;2014;kjønn samlet;40-44 år;grunnskole;16.0462719665046;
Hele landet;2014;kjønn samlet;45-74 år;grunnskole;22.2713603895353;
Hele landet;2014;kjønn samlet;75 år +;grunnskole;40.5311545253244;
Hele landet;2014;menn;25 år +;grunnskole;21.82511156484;
